name,cate_1,cate_2,cate_3,dong,lon,lat,cate_mix,naver_keyword,naver_map_url,naver_store_type,naver_star_point,naver_star_point_qty,naver_blog_review_txt,naver_blog_review_qty
두레박,한식,돼지고기 구이/찜,한식 육류 요리 전문점,흑석동,37.50776366,126.9641459,한식돼지고기 구이 찜한식 육류 요리 전문점,흑석동%20두레박,https://m.place.naver.com/restaurant/18710487,소고기구이,4.54,340,처음 주신 물컵에 고추가루와 머리카락이 묻어있어 교체를 요구했는데 다시 주신 물컵엔 물때가 너무 많고 양념갈비가 양념은 베어있지않고 퍽퍽한 고기맛만 차마 추가로 더 시켜먹지 못하고 나왔는데..청결도 맛도 엉망 전에는 안그랬는데 왜 이렇게 변했을까요?  맛있게 먹었어요  여기 맛있어요~ 반찬 종류도 많고 신선하고 맛도 좋아요 식사시간에는 손님들이 많아서 식사시간을 좀 피해서가면 여유있게 먹을 수 있어요 맛도 좋고 친절하시고 가성비갑이예요~,19
송이식당,한식,백반/한정식,한식 일반 음식점업,흑석동,37.5065732,126.9629974,한식백반 한정식한식 일반 음식점업,흑석동%20송이식당,https://m.place.naver.com/restaurant/1380143248,곱창 막창 양,2.91,11,"친절하시고 한우곱창도 맛있어용 ~~~
순두부찌개가 아주 맛도리입니다 앞집도 맛있답니다. 흑석동 맛집 한우곱창.곱창전골 너무 맛있게 먹었어요~~",1
상투골,주점,요리 주점,기타 주점업,상도1동,37.49526624,126.9549549,주점요리 주점기타 주점업,상도1동%20상투골,https://m.place.naver.com/restaurant/13160700,요리주점,4.25,24,처음인데 ... 좋아요  조아요,13
삼목등심,한식,돼지고기 구이/찜,한식 육류 요리 전문점,흑석동,37.50632121,126.9620056,한식돼지고기 구이 찜한식 육류 요리 전문점,흑석동%20삼목등심,https://m.place.naver.com/restaurant/20950359,육류 고기요리,4.67,103,첫 방문인데 음식이 정말 맛있어요. 고기가 사르르르~~~ 구운 고기 더 오버쿡 되지 않고  따시게 먹을 수 있는 철판이 인상깊었어요. 직원분들의 친절함  신속함 등 서비스도 참 좋더라고요. 또 먹고 싶어요^^ 자주 가는 곳이예요 가격도 착하고 맛도 좋아요 특히 깍두기가 너무 맛있는데 더 달라고 하면 늘 친절하게 많이 주셔서 좋아요 고기뿐 아니라 꺽두기볶은빕 굿굿굿 추천합니다 넘 맛있어요!! 리뉴얼되기 전에 한번 오고 지금 두 번째 방문입니다~ 여전히 맛있네요 :) 원래 가게의 분위기도 좋았는데 리뉴얼 이후훨씬 쾌적해졌네요! 살치살? 처음에 구워주셨는데 입에서 녹았구요~~ 꽃갈비살  미쳤어요>< 다른 부위도 맛있었지만 저의 원픽은 살치살과 꽃갈비살! 멀리 사는데ㅠ 삼목등심 먹으러만 흑석역 와요....ㅎㅎ 와서 와규불초밥 / 볶음밥까지 CLEAR!! 했네여ㅋㅋㅋㅋ 마니 파세여~ ,77
이태리부대찌개,한식,백반/한정식,한식 일반 음식점업,흑석동,37.50760687,126.9616824,한식백반 한정식한식 일반 음식점업,흑석동%20이태리부대찌개,https://m.place.naver.com/restaurant/1668079682,찌개 전골,4.7,165,"갈적마다마음이상한다 이곳주인은본인주장이너무가하다고객이원하는걸한번도들어주는법이없다 맛도별루 가고싶지않은데 동생이부대찌개를좋아해서어쩔수없이가는겨 싫어 싫어 세번째 방문입니다 이개월전 이사와서 처음 들른 곳이고 오늘처럼 비오는 날 생각나서 또 왔어요
맛있습니다 국물이 깔끔하고 자극적이지 않아 좋아요.
사장님 인심도 무척 후하십니다",15
고봉삼계탕,한식,닭/오리고기 구이/찜,한식 일반 음식점업,흑석동,37.50775244,126.962868,한식닭 오리고기 구이 찜한식 일반 음식점업,흑석동%20고봉삼계탕,https://m.place.naver.com/restaurant/1431648997,백숙 삼계탕,4.33,1622,첫방문인데 넓은 매장에 맛도 있고 양도 푸짐합니다?????? 깍두기 배추김치 피클 모두 맛있었어요 양파  마늘  쌈장 요런거 안주시네요 양파랑 쌈장 안주는 삼계탕 집은 처음 가봅니다 기본 반찬에 없길래 달라고 말씀 드렸더니 저희 매장은 양파랑 쌈장 제공 안된다고 하시네요 매장 깔끔하고 음식맛도 괜찮은데 서비스가 아쉽습니다 그리고 추가로 반찬 이용할때 일하시는 분들이 옆에 서서 계속 쳐다보고 계셔서 눈치가 많이 보였습니다 귀찮아서 리뷰 안적는데 처음으로 리뷰 적어봅니다  저희 할아버지 원픽 삼계탕집이십니다.. 입맛이 까다로우신데 항상 여기만 고집하시니 아주 맛집이 맞습니다 ㅋㅋㅋ 깔끔하게 나와서 좋구 맛있어요!! 그리고 반찬들 추가는 셀프로 바뀌었던데 너무 좋아요??,129
차돌이,한식,백반/한정식,한식 일반 음식점업,흑석동,37.50628569,126.9569503,한식백반 한정식한식 일반 음식점업,흑석동%20차돌이,https://m.place.naver.com/restaurant/634729739,백반 가정식,4.42,81,청국장 맛있어요! 생선 동네 식당,8
청맥살롱,비알코올 ,카페,기타 비알코올 음료점업,흑석동,37.50780103,126.9622452,비알코올 카페기타 비알코올 음료점업,흑석동%20청맥살롱,https://m.place.naver.com/restaurant/1897470236,북카페,4.81,103,청맥커피 달달하고 맛났읍니다 좋은 책들. 공예품도 많딥다 차 종류가 많아서 좋아요 대화하기 좋고 넓어요! 모임마다 잘 쓰고 있고 세미나룸을 쓸 수 있는게 특히 좋습니다!,104
만나,일식,일식 회/초밥,일식 음식점업,흑석동,37.50825928,126.9672382,일식일식 회 초밥일식 음식점업,흑석동%20만나,https://m.place.naver.com/restaurant/1638845846,일식당,4.1,41,초밥 포장해서 먹었어요! 회도 길쭉길쭉하고 맛이 좋은데  광어초밥 9개에 새우초밥 1개뿐이라 그게 조금 아쉬웠어요 ㅠ ㆍ 맛있어요 ,5
마루스시,일식,일식 회/초밥,일식 음식점업,상도1동,37.49747874,126.9534765,일식일식 회 초밥일식 음식점업,상도1동%20마루스시,https://m.place.naver.com/restaurant/31842610,초밥 롤,4.46,385,초밥B 두개 포장했습니다 부모님이 편찮으셔서 오랜만에 포장해서 사드렸는데 너무너무 별로라 하셔서 속상했습니다 밥이 오래된건지 설고 덜익은것같았고  오래된것같고 쫀득한 맛이 없고 맛이 너무 없어서 밥을 빼고 먹어야할정도였습니다 겨자까지 뭔가 매콤하고 맛이 있지가않고 맹숭한맛이었다고 합니다 전체적으로 식재료가 신선하지않았고 오래된느낌이었습니다 실망했습니다ㆍㆍ 재료가 정말 신선하고 초밥진짜 맛있어요 또가고싶어오 ㅠㅠㅠㅠㅠ 회가 크고 맛있어요????,143
