name,cate_1,cate_2,cate_3,dong,lon,lat,cate_mix,naver_keyword,naver_map_url,naver_store_type,naver_star_point,naver_star_point_qty,naver_blog_review_txt,naver_blog_review_qty
커피킹,비알코올 ,카페,커피 전문점,흑석동,37.50758503,126.9602236,비알코올 카페커피 전문점,흑석동%20커피킹,https://m.place.naver.com/restaurant/1294226253,테이크아웃커피,4.71,342, 조그만한 가게지만와플이맛있어요  아아 한 잔으로 오후의 졸음 몰아냈어요. 음료 맛나고 가격 착해요.,4
빽찐라면,기타 간이,김밥/만두/분식,한식 면 요리 전문점,상도1동,37.50143537,126.9495307,기타 간이김밥 만두 분식한식 면 요리 전문점,상도1동%20빽찐라면,https://m.place.naver.com/restaurant/37604797,라면,4.36,325,?? 백종원 선생님의 손길이 닿은 빽찐라면 ?? 상도역에 위치한 빽찐라면~ 가게 내부에는 중앙대학교 학생들로 가득했습니다! 골목식당에서 재밌게 본 편이라 기대 많았습니다~ 저는 찐라면으로 주문했고 맛은 그 기대 이상으로 맛있었어요!! 한국인들이 싫어할 수 없는 맛..ㅎㅎ 남자 사장님 친절하시고 특히 가게 청결에 신경 많이 쓰시는게 느껴졌습니다~ 다만  사리 추가가 있으면 더 좋을거 같아요ㅎㅎ 정말 맛있는 라면 한 끼 드실분들 추천합니다~ ?? 추천메뉴 : 찐라면(6 000원)  반공기밥(500원) 빽라면 찐라면 마라라면 다 너무 맛있어요….?? 이런맛집이 근처에 있어서 고마울정도?? 집에서 라면안끓여먹게 되고 맨날 여기가고싶어한다는게 단점입니다…?ㅋㅋㅋㅋㅋ 매장이 작긴하나 작아서 더 느낌있달까요ㅎ 그리고 굉장히 청결하게 관리하시더라구요!! 또 갈게요 사장님 건강하세요~! 오픈 키친이고 사장님 친절하십니다 단무지가 엄청 얇게 썰려져서 맛을 해치지 않고 맛있어요!! 마라맛 강추,144
미묘,일식,일식 회/초밥,일식 음식점업,흑석동,37.50803727,126.9624682,일식일식 회 초밥일식 음식점업,흑석동%20미묘,https://m.place.naver.com/restaurant/38322996,일본식라면,4.38,43,????????? 흑석에서 라멘 처음 먹어보는데 가성비 괜찮아요~~ 밥도 무료라서 좋아욤?? 동네라멘집이지만 맛있습니다,31
고렝,동남아시아,베트남식 전문,기타 외국식 음식점업,상도1동,37.49446171,126.9587432,동남아시아베트남식 전문기타 외국식 음식점업,상도1동%20고렝,https://m.place.naver.com/restaurant/1082149369,아시아음식,4.4,300,??인생팟타이집?? 숭실대 근처 살때 자주 갔는데 이사 가고도 찾아갈 정도의 맛집입니다ㅠㅠ 대학 근처라 가성비 쩔고 팟타이 재료도 선택 가넝해요! 저는 무조건 닭고기 매운맛으로 먹는데 강추입니다ㅠㅠ 쌀국수도 맛있고 식전 빵도 맛있고 물병도 예뻐서 물도 맛있는 수준이요;; 걍 이보다 더 좋을 수는 없음…!?? 해산물미고랭 면 추가에 우육면입니다. 우육면은 정말 빨리 나오는데 면에 간이 조금 덜 밴 느낌? 이어서 살짝 아쉬웠어요. 미고랭은 처음 먹어보는데 계란면이어서 담백한데 기름져서 맛있었어요ㅎㅎ 잘 먹었습니다 :),168
서달양조장,주점,요리 주점,기타 주점업,흑석동,37.50801203,126.9626721,주점요리 주점기타 주점업,흑석동%20서달양조장,https://m.place.naver.com/restaurant/1174982785,맥주 호프,4.53,72,. . 친절하시고 감바스 먹태 다 맛있었어요 ㅎ 분위기도 좋아서 생맥만 육마넌치넘게 먹고가네요 ㅎ,7
밥은화,한식,백반/한정식,한식 일반 음식점업,흑석동,37.50673316,126.9596699,한식백반 한정식한식 일반 음식점업,흑석동%20밥은화,https://m.place.naver.com/restaurant/1212003552,한식,4.71,367,"""밥은화"" 중앙대점~^^3번째방문 합니다!! 너무맛나용♡ 삼겹부추덮밥이 간도딱맞궁!! 양이많아요^^ ""무엇보다도""~젊은직원분들도 너무친절해용♡ 자주방문할게요^^ 배달도되네용?♡ 리뷰쓰면""한입야끼만두나 음료수도 주네용"" 감사합니당♡??  워낙혼자있는것을 좋아해서 점심시간에 먹으러갑니다^^* 맛있고~깔끔하고 양도푸짐하고 ?? 해쉬브라운단품으로~??처음먹어보았는데 패스트푸드점에서 파는것보다~훨씬 맛있드라구요*^^* 오늘도 잘먹었습니당!♡^^* 삼겹부추덮밥!!♡ 가성비 좋으면서 맛있는 곳으로 추천받았는데 진짜 너무 좋은 것 같아요! 우선 가격이 정말정말 착하면서 양도 많고  특히 김치가 너무너무 맛있어서 더더 맛있게 먹은것같습니다?? 친구들과 다같이 갔었는데  혼밥하기에 좋은 자리들도 많고 식당 자체가 깔끔해서 더 편하고 맛있게 먹은 것 같습니다:D 앞으로 자주 오게 될 것 같아요!! 파는 메뉴들을 한번씩 다 먹어보고 싶은 마음입니다ㅎㅎㅎ 저도 추천 받은 식당이지만 앞으로는 제가 추천하고 다닐 것 같이 맛있는 식당이예요..?? 덕분에 오늘 점심이 너무너무 행복했습니다*.☆?(?˙?˙?)?♡.*",22
우뇽파스타뚝배기스파게티,서양식,경양식,서양식 음식점업,흑석동,37.50696571,126.9615216,서양식경양식서양식 음식점업,흑석동%20우뇽파스타뚝배기스파게티,https://m.place.naver.com/restaurant/1097160609,스파게티 파스타전문,4.77,131,"""처음 경험해보는 뚝배기 파스타 ! 정겨운 맛이었습니다"" 학교 앞이라서 매일 가보자 가보자하고 이제서야 가보았습니다. 크림 파스타를 좋아하는 저는 치킨 크림 파스타  남자친구는 토마토을 선호하여 카라멜 베이컨을 골랐고 마늘빵도 함께 주문했습니다. 주방장님이 혼자 일하고 계셔서 그런지  음식은 대략 30분 정도 뒤에 나왔어요 ! 마늘빵은 달짝지근한 맛이 살짝 있는 빵이었고  크림은 간이 세지 않은 파스타였어요. 프렌차이즈의 맛을 기대하면 안되는  집에서 부모님이 만들어주시는 정겨운 맛이었습니다. 토마토는 양파가 카라멜라이징되어 단맛과 탄맛이 살짝 느껴졌습니다. 뜨거울때 먹어도 좋지만 크림은 다 식고 먹으니 꾸덕함이 배가 되어서 좋았어요. 다음엔 로제를 먹어보고 싶어요 ! ?? 닭다리살 크림 파스타 12 500 가격이 조금 비싼 편이지만  양은 은근 많아요. 처음엔 끓어나와서 간이 좀 약했는데 먹다보니 졸아서 괜찮았어요. 맛은 꾸덕하고 살짝 달달한 편입니다. 닭고기는 따로 선조리를 거치지 않고 그대로 끓여서 그런지 소스 간보단 밍밍하고 부들부들한 식감이었습니다. 음료수는 2000원 추가하면 리필이에요. 식당 자리배치도 쾌적하고 편안한 식사였습니다. 개인적으로 노래도 사장님의 옛날 감성이 묻어나와서 좋았어요. 점심시간에 손님이 엄청 많아서 음식 나오는데 시간이 조금 걸려요 시래기파스타 신기해서 먹어봤는데 완전 맛있었어요! 오일이랑 시래기가 잘어울리네요????",48
프랑세즈,비알코올 ,카페,커피 전문점,흑석동,37.50792682,126.9642568,비알코올 카페커피 전문점,흑석동%20프랑세즈,https://m.place.naver.com/restaurant/32799888,베이커리,4.6,1737,[광고아님! 지극히 개인적 빵순이의 도움되실 관점] 맛 4/5  청결 4/5  가격(가성비)4/5 인테리어나 분위기로만 승부하는 곳 보단 올바른 혹은 좋은 재료로 맛을 얼마나 합리적인 가격과 청결함으로 만드느냐가 개인적인 평가의 관점이므로 도움되길! (개인적인 감정은 최대한 배제하려고하기에 친절도는 마지막에 덧붙일게요) 바로 전 단호박 크림치즈 빵과 비교해 보시면 더 좋을 듯 이곳은 파넷트에 비해 빵이 더 많았음에도 빵이 고소하고 맛있어서 전체적으로 부드럽고 맛있었어요 이 이외에도 특히 깜빠뉴가 가격도 참 좋고 좋은 재료를 쓴다는게 느껴지는 집  프랑세즈빵은 많이 먹어도 속이 편해요. 빵종류도 케이크도 모두 맛있지만 샌드위치 꼭 드셔보세요. 진짜 진짜 맛있어요. ^^ 이전에 샌드위치 너무 맛있게 먹어서 근처 왔다가 들렀어요 2층에서 먹고 갈 수도 있고 생각보다 자리 많고 넓어요 마늘빵 크랜베리 샌드위치 둘 다 너무너무 맛있었어요 직원분도 엄청 친절하세요????,243
리치몽브레카페,비알코올 ,카페,커피 전문점,흑석동,37.50704464,126.9623009,비알코올 카페커피 전문점,흑석동%20리치몽브레카페,https://m.place.naver.com/restaurant/1213366688,베이커리,4.32,744,1층 이마트 입구 옆에 빵매장 2층에는 좌석 있는 빵집으로 운영하시네요. 빵이 신선하고 맛있었습니다. 가성비도 괜찮다고 생각합니다~ 샌드위치 애용하고 있어요. 4천원인데 가격 적절한 듯. 이마트 앞을 지나갈 때마다 마늘빵 향기가 좋아서 사먹어 봤어요~ 근데 진짜 맛있네요?? 쌀빵종류가 많았어요~ 그제도 어제도 사 먹고 맛있어서 또 사 먹었어요~쌀빵이고 무방부제라서 더 믿음도가고 맛있어요~ 또 방문할게요^^,5
이공커피,비알코올 ,카페,커피 전문점,흑석동,37.50696571,126.9615216,비알코올 카페커피 전문점,흑석동%20이공커피,https://m.place.naver.com/restaurant/1632203123,카페 디저트,4.62,959,"22년 6월8일부터 ""흑석역""근처 근무하는 직장인인데요~~^^ 언제가도 친절하시고 음료가 전메뉴 가격이 착하고 저희동료들도 전직원단골입니다♡ 처음리뷰써보아요♡ 전직원분들이~친절하세요♡  아아싸고 저는 괜찮아요. 그런데 맛은 초창기보다 구수한 맛이 없어졌어요. 그래서인지 손님도 줄은것도 같아요. 싸고 맛있는 이공커피 아이스 아메리카노 매일 먹어요ㆍ 유명프랜차이즈 커피 보다 맛도 양도 만족합니다",33
백채김치찌개신대방삼거리점,한식,백반/한정식,한식 일반 음식점업,상도1동,37.49494047,126.9568367,한식백반 한정식한식 일반 음식점업,상도1동%20백채김치찌개,https://m.place.naver.com/restaurant/36413870,찌개 전골,4.27,229,2인세트 양이 많습니다. 계란말이도 맛있고 사장님 친절하십니다.  김치찌개가 땡길 때 후회 없는 곳입니다. 1인세트 메뉴도 있어요. 사장님이 무뚝뚝해보이지만 그래도 불편한거 없는지 계속 신경써주십니다. 표현이 크지 않아서 그렇지 친절하세요! 맛있고 가성비 좋아요!,57
역전할머니맥주,주점,생맥주 전문,한식 일반 음식점업,흑석동,37.50759406,126.9643293,주점생맥주 전문한식 일반 음식점업,흑석동%20역전할머니맥주,https://m.place.naver.com/restaurant/1827099901,맥주 호프,4.57,260,2차로 간 역전할맥:) 맛있어요~~ 다른곳도 좋지만 흑석점이 좋아요. 동네기도 하지만  주인분과 알바분들이 친절하고 밝고 안주는 당영히 맛나고  이제 점점 더워지니 딱이죠 체인점인데 중앙대점은 처음이네요. 순살치킨  오뎅탕  치즈돈가스 안주시켜 먹었더니 술을 어마어마하게 먹었네요. 순살은 조금 양이 적어 아쉽네요~,23
중대양곱창,한식,곱창 전골/구이,한식 육류 요리 전문점,상도1동,37.5042273,126.9503964,한식곱창 전골 구이한식 육류 요리 전문점,상도1동%20중대양곱창,https://m.place.naver.com/restaurant/18707049,곱창 막창 양,4.3,245,3차로 방문한 탓에 배가 이미 불러있어서 많이 먹지 못한게 한이 되는 집 곱창전골 너무 맛있어서 며칠 뒤에도 계속 남기고 온 음식이 생각나서 힘들었어요?? 육사시미 곱창 맛있게 먹었어요. 여전히 변함 없는 맛이네요. 달콤 짭쪼름한 소스에 곱창을 콕 찍고 소주힌잔 했더니 피곤함이 싹 사라지네요. 역쉬 한곳에서 오랫동안 장사하는데는 노하우가 있는듯 해요. 곱창2개 시켰더니 알곱창이 맛있다고 알곱창으로 회유합니다(메뉴판에 알곱창없음) 곱창 1인분 가격 19 000원 인거 봐서는 같은 가격인줄알고 시켰습니다 허나 일반 소곱창집그냥 곱창이랑 다를게 없고 저나 같이간 일행이나 곱창 질기다고 서로 얘기 했습니다 맥주1병 소주 4병 볶음밥1 차돌박이(25 000원)1인분 시키고 그냥 먹고 계산 하려고 포스기를 봤는데 알곱창 1인25 000원 찍혀있는거 보고 경악스러웠습니다...말씀드렸지요 왜 사전에 알곱창이 5 000원 더 비싼거 말안하셨냐고... 돌아오는답은 메뉴판에 적혀있지 않지만 포스기에는 알곱창이 5 000원 더비싸다 얘기 안해서 죄송하다... 결과적으로 여기는 곱창 1인분 10 000원짜리도 아깝습니다. 여기 비추천 합니다. 리뷰 지우시면 찾아갑니다.,99
먹돼지,한식,돼지고기 구이/찜,한식 육류 요리 전문점,상도1동,37.4949657,126.9566328,한식돼지고기 구이 찜한식 육류 요리 전문점,상도1동%20먹돼지,https://m.place.naver.com/restaurant/1678783993,돼지고기구이,4.36,1279,"8시 30분에 매장들어가니 9시 30분 매장닫는다고 해서 한시간동안 흡입. 그게 가능함 ㅎㅎ 키오스크가 테이블에 각각 있어 바로 주문가능하고 바로 서빙됨. 고기 불판 화력좋아 잘 구워지고  김치랑
같이 구워먹으니 진짜 맛있게 먹음. 세트메뉴로 된장같이 먹었는데 이것도 괜찮았고 비빔냉면 후식은 내겐 좀 질긴 느낌? 칡냉면처럼 검은 색 도는 면이었음. 고기가 기본적으로 맛있음! 가성비 뿐 아
니라 가심비도 좋은 집 __ 돼지고기 세트메뉴 주문하고 가브리살과 목살 추가해서 먹음. 점심시간인데 은근 고기구워 먹는 손님들 있어서 놀람. 대학앞이라 점심 메뉴가 있는데 우리말고도 막창 구워드시는 분들과 고기구워드시는 분들도 있음. 고기가 기본적으로 맛있는데 점심이라 채소나 파채  콩나물과 같은 부속찬이 준비가 덜되어 있는 아쉬움이 있었음. 오후부터는 자리에 있는 키오스크에서 주문하고 카운터에서 일괄 결제하는 방식이나  점심은 자리에 있는 키오스크에서 주문하고 그 때 그 때 결제하는 방식. 공기밥 1000원 추가하기 그래서 다른 거 결제할 때 같이 하느라 좀기다림. 그래도 맛은 있어서 ㅇㅋ 역시 대학가 앞은 가성비가 훌륭합니다! 맛도 있고 저렴한 고깃집 인정!",47
김밥이맛있는집,기타 간이,김밥/만두/분식,김밥 및 기타 간이 음식점업,상도1동,37.49585785,126.9535896,기타 간이김밥 만두 분식김밥 및 기타 간이 음식점업,상도1동%20김밥이맛있는집,https://m.place.naver.com/restaurant/18696397,김밥,4.3,444,가게 이름답게 김밥이 맛있네요. 다른 메뉴들은 평범한 맛입니다. 회사가 근처라서 출근길에 자주 이용했는데 앞으론 못가겠네요. 젊으신 사장님은 친절하신데 다른 두분이 매우 불친절하시고 계산하고 영수증 주라니깐 던지듯이 주네요..ㅎㅎ주문할때도 불친절하시길래 기분이 좀 상하면서도 참았는데 나올때도 그러니 참..앞으로 갈 일은 없을 것 같습니다 너무 불친절함ㅜ,10
계단집,한식,백반/한정식,한식 일반 음식점업,흑석동,37.50801622,126.9641764,한식백반 한정식한식 일반 음식점업,흑석동%20계단집,https://m.place.naver.com/restaurant/1900859825,육류 고기요리,4.39,199,가게가 깨끗하고 주인분이 친절해요. 고깃집인데도 테이블이 끈적이지 않아서 너무 좋았어요. 그리고 고기 주문하면 찌개를 서비스로 주셔서 기분 완전 좋았어요 ㅎㅎ 반찬도 잘 준비해주시고 가성비가 좋네요. 고기맛과 메뉴는 딱히 맛있다고 할 것도 없고 특별한건 없었는데 직원분들이 친절하고 계단옆이라 위치가 아늑하고 재밌어서 좋았어요.  일주일에 두 번이상은 꼭 오는 곳! 너무 맛있고  사장님도 친절하세요^^ 먹을만해요,30
브레댄코숭실대입구역점,기타 간이,빵/도넛,제과점업,상도1동,37.4958078,126.9540426,기타 간이빵 도넛제과점업,상도1동%20브레댄코숭실대입구역점,https://m.place.naver.com/restaurant/38316255,베이커리,4.43,454,가게가 작아서 아쉽지만 빵맛집 소보루랑 베이글 짱맛 블베 갯수 모자라서 사장님 추천으로 어니언베이글도 사봤는데 맛잇네용?? 근데 크림치즈 한줄.. ㅋㅋ 다른곳보다 크림치즈양이 적은것 같기도^^;; 여기서 빵 사서 먹었는데 맛이 이상해서 확인해보니까 단팥빵에 곰팡이가 있더라구요. 알바생만 일 하고 계셔서 전화번호 남겨드리고 단팥빵 결제분에 대해서만 현금으로 환불 받았어요. 전화번호 남겨드린 이유는 며칠내로 식중독같은 증상이 올수도 있어서 나중에 확인하시거든 연락 달라고 남겨놓고 간건데 오늘 오전까지 기다렸는데 하다못해 죄송하다는 문자라도 올까 싶었는데아무런 연락이 없어서 사진 첨부해서 리뷰 남깁니다. 관리 좀 제대로 해주세요. 빵맛집 소보로 맛집 ????,4
기꾸참치,일식,일식 회/초밥,일식 음식점업,상도1동,37.50467348,126.9509218,일식일식 회 초밥일식 음식점업,상도1동%20기꾸참치,https://m.place.naver.com/restaurant/13157422,생선회,4.16,272,가게도 깨끗하고 화장실고 엄청 깨끗하고 참지 접시 비면 바로바로 채워주시고 같이 주시는 해물이며 다싱싱히고 맛있어요 바지락철이라고 급 끓여주신 칼국수???????????? 또갈게요 사장님 재료도 신선하고 맛있습니다. 직원분들도 친절하시고  서비스도 챙겨주셔서 잘 먹고 왔습니다 ^^ Raw fish(Tuna) Bibimbap??,50
송이네집밥,한식,백반/한정식,한식 일반 음식점업,상도1동,37.49453946,126.9563221,한식백반 한정식한식 일반 음식점업,상도1동%20송이네집밥,https://m.place.naver.com/restaurant/1164607482,한식,4.1,46,가게앞에 두대정도는 잠깐 댈수있어요 철판돼지볶음의 1인자되세요 맛있어요 라면사리 2천원인데 볶음면처럼 맛있네요. 반찬도 리필해주시고 상추에 싸먹어도 맛있네요 행복하세요 감사합니다 맛있고 양도 많아요!!!,2
칠기마라샹궈마라탕,중식,마라탕/훠궈,중식 음식점업,흑석동,37.50742659,126.9596263,중식마라탕 훠궈중식 음식점업,흑석동%20칠기마라샹궈마라탕,https://m.place.naver.com/restaurant/1661609784,중식  마라,4.47,451,가게에 들어가면 인사를 꼭 해주셔서 좋아요 음식도 빨리나오고 맛있기까지ㅋㅋ 최애 해장하는 마라탕집이예요~  흑석동에서 여기 마라탕이 제일 맛있는 거 같아요~ 갈때마다 사람들도 많아요~ 빨리 나와서 더 좋아요~ 마라탕은 칠기♥,148
흑석181,주점,요리 주점,기타 주점업,흑석동,37.50848048,126.9616364,주점요리 주점기타 주점업,흑석동%20흑석181,https://m.place.naver.com/restaurant/1920593921,와인,4.58,35,가격도 부담스럽지 않은데 분위기도 너무 좋고요 무엇보다 떡볶이 맛집이네요 제가 떡볶이 무지 좋아하는데 흑석동 최고 떡볶이라고 말할 수 있습니다 고른 와인이랑도 잘 어울렸어요 친절하신 사장님 덕에 기념일에 좋은 시간 보냈습니다 추천해요 사장님 넘 친절하시고  안주 다 맛있구!!!! 넘 좋았어요 우리집 왜 흑석동 아니야ㅠㅠㅠㅠ 회사 근처에 좋은 곳 발견해서 좋아요^^ 다음 모임에 또 갈게요???? 사장님 친절하고 음식이 맛있었어요~^^ 북적거리지 않고 대화하기 좋은 장소였어요 다시 방문할 예정입니다!,12
푸드랑,기타 간이,그 외 기타 간이 음식점,간이 음식 포장 판매 전문점,상도1동,37.49559028,126.9538987,기타 간이그 외 기타 간이 음식점간이 음식 포장 판매 전문점,상도1동%20푸드랑,https://m.place.naver.com/restaurant/1660641318,가공식품,4.21,261,가격에 비해서 크기도 좀 작은거 같기도 푸드트럭 남자 사장님 가게는 강남역이랑 잠실인가 거기만 있는걸로 알고있는데 여기도 직영점인가요? 핫도그가 맛있어요 모짜렐라치즈+소시지 핫도그 너무 맛있어요!!,35
대박,일식,일식 회/초밥,일식 음식점업,흑석동,37.50837581,126.9610044,일식일식 회 초밥일식 음식점업,흑석동%20대박,https://m.place.naver.com/restaurant/18710082,일식당,4.34,300,가격이 많이 올랐지만 그래도 맛있고 가성비 좋아요. 초밥  회덮밥  탕 (알탕은 없음) 다 맛있고 콘치즈도 맛있어요. 꽁치도 너무 맛있음 ㅠㅠ 흑석동 최애 맛집입니다 ?? 여기는 바석에 앉아서 드시는 거 추천합니다?? 사장님 친절하시고 신선한 회 잔뜩 먹을 수 있어요! 콘치즈 맛집이기도 해요 ㅠㅠ 제철 생선 다양하게 먹고 왔는데 귀한 부위도 먹어봐서 특별한 경험이었어요. 대박집 이름답게 더더 대박나세요 ?? 맛있는 메뉴 구성에  초밥 뿐 아니라 간장새우  오징어 무침도 주세요. 따뜻한 미역국 국물도 주시구요. 야채도 듬뿍 주셔서 식사를 산뜻하게 시작할 수 있구요. 후식 과일도 주세요. 혼자 식사하러 갔을때도 안내가 친절하세요. 두 명 이상이 함께 가면 반찬으로 꽁치구이도 주시는 것 같아요.,56
이삭토스트,기타 간이,토스트/샌드위치/샐러드,피자  햄버거  샌드위치 및 유사 음식점업,흑석동,37.50774127,126.9605721,기타 간이토스트 샌드위치 샐러드피자  햄버거  샌드위치 및 유사 음식점업,흑석동%20이삭토스트,https://m.place.naver.com/restaurant/36286720,토스트,4.56,1288,"가끔 간단하게 식사하고 싶을때 찾는곳이예요 가격도 저렴하고 맛도 좋고~ 집하고 가까우면 더 자주 먹고 싶은 곳이예요 직원분도 친절하셔서 더 맛있게 잘먹었어요^^ 두번째방문인데요^^* 중앙대점은요^^* 12시19분에~^^ 신메뉴 ""핑크퐁 아기상어토스트"" 1판을 주문했는데요~^^ 갑자기~소나기가 내려서 ??산이 없는상황 이였는데요^^성함은 모르겠지만 여직원분이!! 친절히 먼저다가와 우산을 빌려주셨어요! 다음에 토스트 많이팔아드릴게요*^^* 감사합니다! 덕분에 회사를 편안하게 복귀했습니당♡ 맛있어요 역시 이삭!! 직원분들도 정말 친절하셨어요^^b",15
토끼네,한식,백반/한정식,한식 일반 음식점업,흑석동,37.50630044,126.9627184,한식백반 한정식한식 일반 음식점업,흑석동%20토끼네,https://m.place.naver.com/restaurant/1417258915,한식,4.56,168,가끔 집밥이 생각나면 가정식백반 먹어요~ 가끔 점심먹으러 가요~ 굿,14
여덟 아홉,일식,일식 회/초밥,일식 음식점업,흑석동,37.50752615,126.9648052,일식일식 회 초밥일식 음식점업,흑석동%20여덟 아홉,https://m.place.naver.com/restaurant/1787599321,요리주점,4.23,1599,"가마솥에나오는 불닭볶음탕!! 달달매콤하고 닭고기도 야들야들 맛있어요~ 규동 그리고 모짜치즈튀김까지 모두굿굿! 술종류도 다양해서 맛있는 안주와 술마시기 좋은 분위기있는집이에요~ 과일꽃하이볼 진짜 일반 하이볼하곤 차원이 다른맛이다 죽을때까지 마실뻔 낙지청어알젓갈과 묵은지두부김은 첨 시켜 먹어봤는데 진작 먹어볼걸 완전 조화로운 조합이다 집에 포장해오고싶었다 여덜아홉왔으면 전통주는 꼭 시켜야지 단골 전통주 서설과
오메기술(사진 못찍음) 둘다 은은한 향과 맛에 무한정 시킨다 사장님과 알바분도 항상 친절하시고 매장도 깨끗하게 관리하시고 서비스도 잘 챙겨주시고 ㅎㅎ 조만간 또 들르곳 흑석동에 분위기좋고 맛있는 이자카야로 유명해서 방문했어요 ?? 저녁먹고 하이볼 간단하게 먹으려고 통모짜렐라 튀김  숙성연언회 Half로 주문했는데 두개다 너무 맛있네요   ?? 튀김도 느끼함하나없이 넘 바삭하고 쭈우욱 늘어지는 치즈또한 먹는재미가
있어요 숙성연어회는 두툼하게 썰어주셨는데 씹는맛이있고 지방도 적당히있어 맛있었어요 ",19
엉터리맥주집,주점,생맥주 전문,생맥주 전문점,흑석동,37.50834067,126.9611067,주점생맥주 전문생맥주 전문점,흑석동%20엉터리맥주집,https://m.place.naver.com/restaurant/1639358686,맥주 호프,4.98,613,가볍게 한잔 하기 좋아요! 생맥도 가성비 굿! 믿을 수 업는 평점 보고 갔는데 역시입니다! 분위기는 커피숍 같은데 생맥주도 엄청 맛나고 순살 치킨도 최고입니다. 뼈도 있는 진짜 치킨도 있음 더 좋을 듯 하지만 다음주에 또 새로운 안주 먹으러 갑니다! 감튀 가성비 짱이에요!ㅎㅎ,9
맛닭꼬숭실대입구역점,기타 간이,치킨,치킨 전문점,상도1동,37.49800388,126.9527454,기타 간이치킨치킨 전문점,상도1동%20맛닭꼬숭실대입구역점,https://m.place.naver.com/restaurant/1241426077,치킨 닭강정,4.5,61,"가성비 맛집! ____ 몇일전 포장해서 먹고 맛있어서 애기 산책길에 홀에서 먹어봤어요. 치킨사진은 어디로ㅋㅋㅋ ㅡ 기름빠진 오븐치킨이라 담백하고 가슴살도 너무 부드러운거 있죠. 감튀도 바로
나와서 먹으니 바삭 큰아들이 치킨을 너무 좋아해서 자주 먹는데 닭도 실하고 친절하시고 두마리먹어도 부담없어 좋아용 핫소스 현미베이크 먹어봤는데 매콤해요ㅎㅎ맵기단계 조절가능하고 저는 보통으로 먹었네요! 치킨 저렴해서 포장해서 집에서 먹으면 최고에요! 설날 연휴 온가족 출동해서 각자 먹고싶은것들로 1인 1메뉴했어요ㅎ 오븐에 구은거라 1도 느끼하지 않고 닭발은 주인장 추천으로 시켰는데 오호 맛나요ㅋ매콤하구요..ㅋㅋ 감튀는 여러 프렌차이즈들
보다 훨더 나아요 양도많아서 맥주안주로도 딱 입니다 역시 맛닭꼬는 후회없네요. 연휴엔 치킨이 진리ㅎㅎ특히 매장서 먹으니 더더 바삭하고 따뜻하니 굿 입니다요ㅋ",14
큐피드,서양식,경양식,서양식 음식점업,상도1동,37.49517112,126.9564264,서양식경양식서양식 음식점업,상도1동%20큐피드,https://m.place.naver.com/restaurant/1068164703,요리주점,2.9,9,가성비 조아요 단체모임 조아요 음식맛있어요,1
도쿄라멘3900,일식,일식 면 요리,일식 음식점업,상도1동,37.49501766,126.9563946,일식일식 면 요리일식 음식점업,상도1동%20도쿄라멘3900,https://m.place.naver.com/restaurant/1118354758,일식당,4.47,300,가성비 좋고 맛있어요 !!!???? 요번에 가봤는데 저렴하고 맛있어요^^ 숭실대 가성비 라멘집 좋아요^^,15
매머드익스프레스숭실대점,비알코올 ,카페,커피 전문점,상도1동,37.4950682,126.9570159,비알코올 카페커피 전문점,상도1동%20매머드익스프레스숭실대점,https://m.place.naver.com/restaurant/1571173743,카페,4.23,1599,가성비 좋고 커피맛도 좋네요 항상 커피는 여기서 사서 먹어요 ! 학교 앞에 커피집 중에 매머드가 제일 맛있습니당 아아가 조금 밍밍해짐. 예전에는 원두 맛이 강했는데 요즘은 밍밍해요,19
미스사이공상도역점,동남아시아,베트남식 전문,기타 외국식 음식점업,상도1동,37.50349258,126.9488346,동남아시아베트남식 전문기타 외국식 음식점업,상도1동%20미스사이공상도역점,https://m.place.naver.com/restaurant/1700799497,베트남음식,4.36,1279,가성비 좋은 맛집이예요. 친절하시고~ 혼밥하기 좋아요! 요즘 물가에 기본쌀국수가 5900원이면 완젼 저렴! 볶음면 맛나요! 얼큰 쌀국수도 괜춘했는데 고기에서 냄새는 좀 나더라고요 가격이 착합니다,47
성민양꼬치,중식,중국집,중식 음식점업,흑석동,37.50755198,126.9636399,중식중국집중식 음식점업,흑석동%20성민양꼬치,https://m.place.naver.com/restaurant/32874505,양꼬치,4.47,366,가성비 좋은 흑석동 중대생들과 동네주민들의 마음을 훔친 성민양꼬치 다 좋은데 진짜 다 좋은데 위생만 좀 신경써주세요! 솔직히 먹으면서 찝찝해서 소주 딱 한병 마시고 나왔네요 첨에 양꼬치 시켰드니 전부 비계 덩어리만보이고 마라탕 포두부는 진짜 성한게 하나없이 다 저렇게 찢어지고 너덜거리고 재탕을 심하게 한듯한 잔반을 다시 넣어 끓어준게 아닌가싶은...절대 다신 가고싶지 않은 내가아는 젤 심한 양꼬치집이네요 흑석동 최애 맛집 중 하나 고기 먹고 나온 꼬치에 마늘 꼭...꾸어드세요!!!,145
고기스토리숭실대점,한식,돼지고기 구이/찜,한식 육류 요리 전문점,상도1동,37.49509585,126.9560655,한식돼지고기 구이 찜한식 육류 요리 전문점,상도1동%20고기스토리,https://m.place.naver.com/restaurant/32848774,돼지고기구이,4.34,94,가성비 최고다... 요즘물가에 이런고깃집이 있다니 가성비 너무 괜찮은 집입니다!! 학교앞 어디에나있는 삼겹살 맛이에용 직원분은 친절하셔요!,48
